model,drop out,methods,reward,run,test,cifar10,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
modelvit,do0,GEN global,rew0,1,36.50887115045547,203.0754397400557,215.87163676321103,223.4053568552194,214.11746076788995,210.18371239725477,221.17078406997783,110.75449388581076,334.9396001262326
modelvit,do0,GEN global,rew0,0,41.43927977936703,205.9907144395884,217.98582298029987,227.627733111918,219.68175069749097,201.3280356709137,210.51391748417305,105.2894773519604,326.7490133885464
modelvit,do0,GEN global,rew0,3,34.87187034355044,204.91429058631343,217.32349479260253,222.9033454030256,216.00190322132696,210.55903063368592,206.3450206434788,111.4698440488298,319.16884450968814
modelvit,do0,GEN global,rew0,4,35.49042620657789,206.0372529974576,220.5814695491175,226.6373277583128,217.2008313075148,212.98571401801965,211.7425627717095,111.48994888847628,328.29996904816727
modelvit,do0,GEN global,rew0,2,38.57822669371672,209.65265286535032,220.6484395802459,221.8817313302317,213.383228328736,208.33473811285512,204.25084010288157,115.59304259793508,320.02177969348986
modelvit,do0,REN global,rew0,1,36.54037074648212,213.32115605908308,218.48712827809567,218.9750586837847,209.61802271005965,214.43982256122607,219.12320103352047,127.60972417355518,332.41621576063426
modelvit,do0,REN global,rew0,0,41.81528756366718,207.6249257970504,218.56043443742757,227.13977498659415,219.42347734849588,205.26093461088948,209.3350589496856,119.23476643727152,326.53408362251577
modelvit,do0,REN global,rew0,3,36.49270990196573,219.33428313718147,222.1542759382081,219.5438118014168,212.5217612695125,215.73841493050207,211.92723134780536,134.52548098512295,323.7090809887423
modelvit,do0,REN global,rew0,4,35.949976906298474,207.0216090533551,219.9893270516156,224.18390123450803,215.34927445666517,213.06591286007372,209.48894296741943,113.75417153406676,325.93989988074577
modelvit,do0,REN global,rew0,2,39.52346522964105,203.1501331407159,217.01711927066623,226.3034818957673,218.7421590484819,205.53020691370423,203.88966628642007,104.62999494832796,313.28723334598914
modelvit,do0,GEN class pred,rew0,1,39.74613073304051,205.51160748269257,221.0907802518635,230.2326796686086,221.47396351580755,213.79642842334428,222.241041581692,112.91542020145408,338.0142491931382
modelvit,do0,GEN class pred,rew0,0,41.23502679614411,205.33316173898407,217.31002429827248,229.22832895225588,222.0969903134055,198.8975412609213,206.3563394900723,97.72484709912732,325.0119230498116
modelvit,do0,GEN class pred,rew0,3,36.51210705292144,204.38996281661284,217.73014588260085,224.67825114976,218.7808872287896,209.7435420061448,206.40107237649855,110.02785119166616,318.93347599672177
modelvit,do0,GEN class pred,rew0,4,35.892941023524216,206.18721313669135,221.19597922119024,228.14872841282275,219.11572518973605,211.82542155737,211.6709600432703,106.85928550405022,331.23439642384034
modelvit,do0,GEN class pred,rew0,2,37.96262942540824,204.2651306976213,217.3940729475088,222.82883103010877,214.9911011718225,203.6304969858064,200.40691806542316,103.33338235220089,317.03611285680347
modelvit,do0,MSR global,rew0,1,38.27306305872368,194.74589489253347,213.8494559868789,229.37764903458847,220.6047443358812,206.92815868087143,222.27414139407304,97.5618865008266,334.7674631084077
modelvit,do0,MSR global,rew0,0,41.346537543238526,202.57244831387803,216.04531016065843,230.5223205522176,222.01215915366288,196.5141424263727,208.76832583165483,91.81772411509324,324.40609959944635
modelvit,do0,MSR global,rew0,3,36.025235776273455,195.96381388376363,215.28356028587663,228.27662741853328,221.2933436516601,208.1831438933202,203.87615597834704,95.6562433092426,317.3860645568055
modelvit,do0,MSR global,rew0,4,37.1511880680331,197.4105854468064,219.74045520196523,233.61286463581445,223.90424380916556,210.83848227245448,212.98589874104348,97.27303419230108,328.3697245420961
modelvit,do0,MSR global,rew0,2,39.185854305480746,203.8220675670208,217.79074135434544,227.0097326872317,218.94319187427504,202.90949171647975,204.44129012359275,96.2950686714786,315.4460544079976
modelvit,do0,GEN class avg,rew0,1,40.82162999839056,203.2138853388618,224.7283470799544,229.85333215173307,223.27749624763905,217.15471129301804,238.3798964719334,118.04043638886726,346.59795446943355
modelvit,do0,GEN class avg,rew0,0,39.8232387184292,200.93531674155588,219.9243386209484,225.6560328448,222.52961128786023,204.90194472174989,228.21237739641643,108.64497505577684,341.63002059704667
modelvit,do0,GEN class avg,rew0,3,35.61812595057675,203.1585133662572,221.47894793057156,225.31317831741717,224.3802458364449,217.44220668685736,225.4026301807318,116.91513480338114,330.32366522575774
modelvit,do0,GEN class avg,rew0,4,37.31920764632098,203.4858979972892,226.54195693656348,229.4212003830085,222.40322305094384,216.2524083185033,229.1349856499784,111.250366033878,337.1751091318778
modelvit,do0,GEN class avg,rew0,2,38.54620008685463,208.5157772238116,223.0218130714701,223.2665046332984,216.39459015219816,209.53052749249116,216.94180635436945,117.76522104845968,329.04094079853934
modelvit,do0,CTMmean global,rew0,1,36.662953043297215,200.41627127283093,204.74250764373343,207.07667583797456,197.6039189383059,202.70570554516013,178.85985884655534,98.7279745684631,289.90616640818183
modelvit,do0,CTMmean global,rew0,0,42.12826368239733,202.1633554376294,211.08184575201307,240.09502710459853,221.51659467466075,186.6633871113445,207.8597993514332,92.1897261433375,299.09410022599894
modelvit,do0,CTMmean global,rew0,3,36.85221435077368,197.1205877927415,204.11880184827297,218.1546969090253,207.00798176933577,190.53807288852445,198.01123970651656,91.91960111980444,295.7542123632279
modelvit,do0,CTMmean global,rew0,4,36.49400427175771,203.169759993602,216.30855632560252,231.39821605461552,217.209490638867,198.5166294892828,212.1698943628664,93.4361972811756,292.2899939639839
modelvit,do0,CTMmean global,rew0,2,40.15724391791502,198.3978064018598,210.36746198088304,235.76969683811092,217.92708869620543,187.8967404334549,225.900342261093,93.29775146912785,299.5864033504731
modelvit,do0,GEN,rew0,1,39.79949611080744,207.3314464418542,221.2980624021949,232.67070878624816,222.1619680660956,215.06949589509188,225.28208942088403,114.26387514208704,336.4507428063126
modelvit,do0,GEN,rew0,0,42.36156158503525,203.6291921563921,216.1555025286296,229.0056412473067,221.26574648847065,196.91815774361996,209.1161241626769,97.20195694243093,326.2879671749502
modelvit,do0,GEN,rew0,3,35.45302792526714,206.28809872444788,217.96642364019476,224.18182126374305,217.19800559157292,211.38555226176248,207.1207084280446,112.51330132520135,320.0481481165917
modelvit,do0,GEN,rew0,4,36.61072025717798,207.6100317358196,222.72647043964764,230.6917257804504,220.36557226687611,214.5540796329768,214.59172664374964,112.90724643254237,329.68005423687384
modelvit,do0,GEN,rew0,2,38.32432507829184,209.47005537978768,220.6540163759385,221.2935672877396,212.90041613524463,207.00864243162115,203.29088730135857,114.13655954526492,319.19295901327826
modelvit,do0,REN class avg,rew0,1,40.31491772570287,205.74204866058497,224.5976133771209,226.6411092686756,220.52581409376575,217.30127106035945,236.30798547338836,124.01885087699904,343.6441713867306
modelvit,do0,REN class avg,rew0,0,40.365176617183,203.2353784249766,220.88218937543783,223.1001192181608,220.85649618604648,207.1541918025108,228.74822581660703,117.0750287103755,342.5578305934496
modelvit,do0,REN class avg,rew0,3,35.829904767449,217.57926504576648,220.87983504549828,222.20894290768072,221.8718852626271,218.2484141356428,215.5573243574869,136.65466764215867,322.76281685377165
modelvit,do0,REN class avg,rew0,4,37.17276721294184,211.0066635489716,226.81496628641315,222.7383204241385,216.5313877247555,217.2176510521012,226.5500928586123,123.16059948574664,335.9584093693899
modelvit,do0,REN class avg,rew0,2,39.67195818806011,202.8276369398274,219.9773088097025,228.1248456356977,222.0795373325062,207.37735760943568,218.45389861969176,107.4404571406015,323.5085762484474
modelvit,do0,CTMmean class avg,rew0,1,39.94463295110528,205.56121709159183,210.16366400980516,221.2465427474929,208.7805938993542,206.32530778290536,186.2588915435481,98.20619396904422,291.6934972642376
modelvit,do0,CTMmean class avg,rew0,0,41.92866124894164,207.671324076016,212.35563623078752,230.4035612768065,212.03202624067168,197.20679832679957,194.54911951642495,97.80670192371988,296.21808391762914
modelvit,do0,CTMmean class avg,rew0,3,35.60950906016492,200.976083592153,205.1483718163967,202.8454458612052,191.55455314242155,204.05749668644384,183.52240802190747,99.78891084099445,291.29628978631075
modelvit,do0,CTMmean class avg,rew0,4,36.633871150149325,209.6286019305376,217.31595585599445,224.7484748643338,209.7678374634987,207.20406143280744,201.3887104166064,97.2952932318405,290.215271035084
modelvit,do0,CTMmean class avg,rew0,2,39.32561022753361,202.40947650403157,212.29198816630736,225.87229254625865,206.97730717926808,198.79698375539343,209.3921239376401,99.70577392703024,295.5747551467193
modelvit,do0,REN class pred,rew0,1,40.68176313087372,218.52451358493724,226.09041145384705,224.8701273993021,215.36412849266364,219.42529924922292,224.62910204269372,134.6501680608497,340.911274520454
modelvit,do0,REN class pred,rew0,0,42.09598281145401,205.91093790867936,217.49195466482715,228.5126055708604,222.34511218324388,199.91474479411772,205.9832815100889,102.3731456998308,324.8857423790857
modelvit,do0,REN class pred,rew0,3,36.65564439828953,210.94279409274665,217.149328361862,220.92142179064984,216.24787797751276,211.95225165652107,197.73738318650115,126.89106875624404,313.1866655184627
modelvit,do0,REN class pred,rew0,4,36.2262435107802,205.5019561033833,220.23774408388127,232.41111715848763,223.68366587410597,212.75631362505968,206.79086455556885,107.05550293426197,326.6224846921618
modelvit,do0,REN class pred,rew0,2,38.33396821484012,205.13355291258185,217.58955250887448,220.5779832873241,213.38924947891053,206.29975581462145,199.1711433043318,113.59082337095172,317.50931309101776
modelvit,do0,PCE global,rew0,1,38.96134893544233,194.603109294118,214.07134069771064,230.3387636789824,221.5141805121153,206.98734435382275,222.60618584822163,96.8334898633932,334.9717548258466
modelvit,do0,PCE global,rew0,0,41.74694436791189,202.1691811566046,215.95182071695643,231.07504956817917,222.6425839875174,195.885573103704,208.6463276161065,90.95476995229,324.1183346760625
modelvit,do0,PCE global,rew0,3,36.66877314161516,195.80319964896668,215.48511854184767,229.1789974952852,222.18828626208688,208.34886227682537,203.90133552412735,95.02371294993787,317.48649132395906
modelvit,do0,PCE global,rew0,4,37.62161152121945,197.08072760110176,219.96378852869225,234.4466041791152,224.68748117305887,210.80642492321215,213.22431577784528,96.62654679806136,328.51748477161647
modelvit,do0,PCE global,rew0,2,39.70621299891298,203.61661830682735,217.8211746978938,227.93071126758724,219.82814081684955,202.7215276880274,204.8579268084328,95.30579569106334,315.0959907284668
modelvit,do0,REN,rew0,1,39.87395985801693,218.193302138511,224.51435529374996,228.66260645474927,218.28019445246537,218.32689085046303,224.1819317577715,133.40980182457074,334.82124444179374
modelvit,do0,REN,rew0,0,42.7047383631781,204.66485996705055,216.60334097929183,228.454132151498,221.16549103505145,198.34071288247196,209.3354869554393,101.81041962802132,326.6232252846111
