model,drop out,methods,reward,run,test,cifar100,tinyimagenet,lsun resize,isun,places365,lsun cropped,textures,svhn
confidnet,do1,MCD-MSR global,rew2.2,1,5.068356207898533,225.41700596837453,200.1838633613771,196.52797906621805,175.42943023453623,227.7303277944248,200.27152465963627,114.80659751048572,425.0689616524057
confidnet,do1,MCD-MSR global,rew2.2,3,5.491186703762247,224.1059787311952,198.76324463969516,195.1330937885999,173.71858985653935,228.08081732124344,205.05766625073363,116.36031343900144,433.1288291773924
confidnet,do1,MCD-MSR global,rew2.2,5,5.241521218591111,224.1173963859704,198.00632396494169,195.67716667015563,173.25308594630428,228.31026414841483,205.10860869045257,116.08818479877472,428.96040354883536
confidnet,do1,MCD-MSR global,rew2.2,4,5.209247325614949,225.55976754240183,199.31852186291837,198.26254451823672,176.0353633204166,229.1505169345981,203.19164638443792,118.94352771165548,441.01100094315046
confidnet,do1,MCD-MSR global,rew2.2,2,4.862681201028561,224.1037449936645,201.8589285796763,197.95813991092703,176.25951835330085,229.248692980539,199.64505179822828,116.52287352693608,426.5897800795157
confidnet,do1,MCD-MSR,rew2.2,1,5.029782942822851,225.7837301488664,201.253018253302,197.00200905970252,176.16590298337726,228.12408308894592,202.2155646075072,116.67999110407546,428.5086510215852
confidnet,do1,MCD-MSR,rew2.2,3,5.487111364002986,224.71682667223575,200.254885992029,195.94191197455663,174.72595915288989,229.4900229172333,207.6663814936906,118.78316085474836,437.509077487792
confidnet,do1,MCD-MSR,rew2.2,5,5.299416589754401,224.41011350231884,199.251100587356,196.37114538952392,173.99941157890015,228.8021755026908,207.63335467282675,117.85380773608324,431.4862003550252
confidnet,do1,MCD-MSR,rew2.2,4,5.190379202121727,225.68665247581916,201.22901917835412,199.6294812168452,177.44328835500818,230.12237534351283,205.5880873193509,121.36692875537462,447.5529957451313
confidnet,do1,MCD-MSR,rew2.2,2,4.866931766915109,224.7680752559085,203.81692162972348,199.1375907883598,177.62566144272463,230.1489255833088,201.80064083594152,118.48259961413828,429.75117129039
confidnet,do1,MCD-MSR class pred,rew2.2,1,5.031603207459233,226.0098508224772,200.01475622288797,196.849151635522,175.68418377737564,228.85545285017812,201.3130071485505,114.93289353094202,424.26367555067503
confidnet,do1,MCD-MSR class pred,rew2.2,3,5.496591965017919,224.76242193999585,198.52466268968723,195.3832892158973,173.8526934755269,229.47373256613383,205.73332777466712,116.41699302443374,431.9395441184639
confidnet,do1,MCD-MSR class pred,rew2.2,5,5.2616026046679405,224.77110849485672,197.9109347704115,195.92407900557197,173.44553673996484,229.4920615324834,205.97443139527783,116.4680328854363,428.6799223994863
